0,1,2,3,4,5,6,7
Early DH, MIN-NYG (35%);CHI-OAK (34%), FOX, 9.5, +16%, 16.05M, +18%, 4.5
Single, DEN-LAC (29%);BAL-PIT (24%), CBS, 9.3, +16%, 16.24M, +22%, 4.4
TNF, LAR-SEA, FOX, 8.6, +8%, 14.26M, +8%, 4.4
MNF, CLE-SF, ESPN, 6.5, +3%, 11.13M, +6%, 3.9
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
SNF, DAL-NO, NBC, 13.7, +32%, 24.11M, +35%, 7.8
Late DH, MIN-CHI (88%), CBS, 11.3, -7%, 19.80M, +4%, 5.8
TNF, PHI-GB, FOXNFLN, 10.5, +18%, 17.62M, +22%, 5.6
Single, KC-DET (38%);TB-LAR (26%), FOX, 9.7, -6%, 16.48M, -8%, 4.7
Early DH, NE-BUF (57%), CBS, 8.7, -6%, 14.65M, -5%, 4.1
MNF, CIN-PIT, ESPN, 6.4, -19%, 10.47M, -21%, 3.45
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, NO-SEA (63%), CBS, 13.0, +2%, 22.46M, +1%, 6.5
Single, DEN-GB (32%);MIA-DAL (21%), FOX, 10.8, +54%, 18.66M, +56%, 5.4
SNF, LAR-CLE, NBC, 10.8, -6%, 18.59M, -4%, 6.1
Early DH, BAL-KC (65%), CBS, 8.3, +1%, 13.66M, -1%, 4.0
MNF, CHI-WSH, ESPN, 6.2, -14%, 10.33M, -14%, 3.7
TNF, TEN-JAX, NFLN, 3.8, -27%, 6.32M, -27%, 2.2
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, NO-LAR (81%), FOX, 13.2, +10%, 23.34M, +11%, 7.0
SNF, PHI-ATL, NBC, 10.3, -12%, 17.64M, -15%, 5.8
Early DH, DAL-WSH (52%), FOX, 9.2, +21%, 16.09M, +27%, 4.9
Single, KC-OAK (32%);NE-MIA (24%), CBS, 8.9, -11%, 15.24M, -13%, 4.4
MNF, CLE-NYJ, ESPN, 7.2, +3%, 11.80M, +1%, 4.2
TNF, TB-CAR, NFLN, 4.1, -5%, 6.64M, -5%, 2.4
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, NYG-DAL (85%), FOX, 13.5, +3%, 23.90M, +3%, 7.5
SNF, PIT-NE, NBC, 12.6, +1%, 22.21M, +0.4%, 7.5
Kickoff, GB-CHI, NBC, 12.8, +14%, 22.03M, +16%, 7.1
Single, TEN-CLE (27%);KC-JAX (27%), CBS, 9.0, -7%, 15.38M, -10%, 4.6
MNF, HOU-NO, ESPN, 7.8, +26%, 13.08M, +27%, 4.4
Early DH, WSH-PHI (39%), FOX, 7.4, flat, 12.64M, +1%, 3.9
MNF, DEN-OAK, ESPN, 6.5, +10%, 10.62M, +11%, 3.8
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-],
8/25, 8:00p, PIT-TEN, NBC, 3.8, -14%, 6.24M, -13%
8/1, 8:00p, DEN-ATL, NBC, 3.4, -17%, 5.33M, -21%
8/18, 8:00p, SEA-MIN, FOX, 3.2, —, 5.30M, —
8/18, 4:00p, NO-LAR, CBS, 2.5, —, 3.93M, —
8/23, 8:00p, BUF-DET, CBS, 2.2, +5%, 3.45M, +7%
8/22, 8:00p, JAX-MIA, FOX, 2.1, -50%, 3.32M, -49%
8/19, 8:00p, SF-DEN, ESPN, 1.9, +12%, 3.01M, +13%
8/15, 8:00p, OAK-ARIZ, ESPN, 1.5, -6%, 2.40M, -6%
8/17, 7:30p, KC-PIT, NFLN, 1.0, flat, 1.66M, +2%
8/10, 9:00p, DAL-SF, NFLN, 1.0, +11%, 1.66M, +16%
8/8, 7:00p, NYJ-NYG, NFLN, 0.9, -25%, 1.50M, -22%
8/9, 7:30p, TB-PIT, NFLN, 0.75, -13%, 1.22M, -9%
8/17, 4:00p, CLE-IND, NFLN, 0.8, -16%, 1.20M, -18%
8/8, 10:00p, DAL-LAR, NFLN, 0.7, flat, 1.13M, -1%
8/16, 7:30p, CHI-NYG, NFLN, 0.6, -25%, 1.05M, -20%
8/24, 7:00p, HOU-DAL, NFLN, 0.6, —, 1.03M, —
8/8, 10:15p, LAC-ARIZ, NFLN, 0.7, -35%, 1.02M, -32%
8/23, 7:30p, CLE-TB, NFLN, 0.6, —, 972K, —
8/24, 1:00p, ARIZ-MIN, NFLN, 0.5, -15%, 766K, -23%
8/24, 10:00p, SEA-LAR, NFLN, 0.5, —, 751K, —
8/29, 7:00p, PHI-NYJ, NFLN, 0.43, -12%, 681K, -10%
8/29, 10:00p, LAC-SF, NFLN, 0.31, -23%, 470K, -22%
